EmpID,ProjectID,DateFrom,DateTo
101,7,06-10-2011,2011-09-19
125,7,2011-05-05,08/27/2011
110,99,2011-06-10,2011-09-19
120,99,2011-04-09,2011-09-22
103,14,2011-07-20,NULL
106,14,2011-07-20,08/27/2011
106,13,2011-07-10,2012-01-01
184,2,2011-05-10,2011-08-10
111,2,2011-06-10,2011-06-12
137,6,2015-01-14,2015-02-20
188,6,2015-02-08,2015-03-03
127,11,2023-08-14,NULL
137,11,2023-07-14,NULL
137,1,2023-07-14,NULL
185,1,2015-10-08,2015-12-03
181,1,2015-08-08,2015-11-03
154,2,2011-01-19,2011-04-11
155,2,2011-02-19,2011-04-11
119,9,2022-06-10,NULL
112,9,2022-04-10,2023-06-10
143,12,2013-05-01,2013-06-01
173,12,2013-01-01,2014-01-01
144,13,2015-02-01,2015-04-11
145,13,2015-03-01,2015-04-21
144,19,2016-02-13,2016-05-21
145,19,2016-01-20,2016-04-11
141,20,2017-02-01,2017-05-01
195,20,2017-03-01,2017-06-01
199,21,2023-09-11,NULL
199,20,2023-09-11,NULL
198,21,2023-09-15,NULL
102,22,2023-08-05,NULL
197,22,2023-07-07,NULL
116,28,2023-07-03,NULL
190,28,2023-08-11,NULL
218,10,05/16/2022,NULL
143,10,2022-01-01,05/27/2022
